index,dropoff_latitude,dropoff_longitude,dropoff_datetime
1410,40.76506423950195,-73.98184204101562,2016-01-14 08:00:13+00:00
1514,40.77740859985352,-73.97886657714845,2016-01-14 08:00:28+00:00
1715,40.754859924316406,-73.98419189453125,2016-01-14 08:00:18+00:00
2198,40.74671936035156,-73.97256469726562,2016-01-14 08:00:00+00:00
10067,40.77259063720703,-73.95851135253906,2016-01-14 08:00:21+00:00
10684,40.75511932373047,-73.97527313232422,2016-01-14 08:00:15+00:00
12954,40.70198822021485,-74.01114654541014,2016-01-14 08:00:05+00:00
13048,40.76995849609375,-73.952392578125,2016-01-14 08:00:28+00:00
14699,40.76168823242188,-73.96370697021484,2016-01-14 08:00:17+00:00
16661,40.76169967651367,-73.97513580322266,2016-01-14 08:00:11+00:00
17737,40.750675201416016,-73.97872161865234,2016-01-14 08:00:25+00:00
18155,40.75041580200195,-73.99466705322266,2016-01-14 08:00:21+00:00
18309,40.76754379272461,-73.9808349609375,2016-01-14 08:00:01+00:00
23760,40.76832962036133,-73.95296478271484,2016-01-14 08:00:07+00:00
27969,40.77458953857422,-73.94510650634766,2016-01-14 08:00:16+00:00
29054,40.79472732543945,-73.97200775146483,2016-01-14 08:00:02+00:00
32057,40.72075653076172,-74.00911712646483,2016-01-14 08:00:07+00:00
32215,40.76286697387695,-73.9835433959961,2016-01-14 08:00:18+00:00
35282,40.75546646118164,-73.97672271728516,2016-01-14 08:00:04+00:00
40044,40.750404357910156,-73.98341369628906,2016-01-14 08:00:16+00:00
40078,40.77516174316406,-73.98331451416014,2016-01-14 08:00:30+00:00
42039,40.77329635620117,-73.98920440673827,2016-01-14 08:00:01+00:00
44599,40.7604866027832,-73.96112060546875,2016-01-14 08:00:25+00:00
45102,40.76147079467773,-73.97271728515625,2016-01-14 08:00:01+00:00
45224,40.75728225708008,-73.98363494873048,2016-01-14 08:00:17+00:00
46817,40.75346374511719,-73.98025512695312,2016-01-14 08:00:28+00:00
48556,40.76773071289063,-73.9541015625,2016-01-14 08:00:08+00:00
50864,40.7795295715332,-73.96122741699219,2016-01-14 08:00:07+00:00
51755,40.75586318969727,-73.97942352294923,2016-01-14 08:00:09+00:00
53197,40.73381805419922,-73.99114990234375,2016-01-14 08:00:08+00:00
55511,40.79148864746094,-73.95115661621094,2016-01-14 08:00:24+00:00
57021,40.73173141479492,-74.00663757324219,2016-01-14 08:00:04+00:00
59644,40.76519393920898,-73.95653533935547,2016-01-14 08:00:04+00:00
60556,40.777168273925774,-73.9640121459961,2016-01-14 08:00:05+00:00
62684,40.74099349975585,-73.98709869384766,2016-01-14 08:00:04+00:00
63744,40.77385330200195,-73.95983123779298,2016-01-14 08:00:18+00:00
64601,40.720252990722656,-74.00962829589844,2016-01-14 08:00:27+00:00
64703,40.7085075378418,-74.00755310058595,2016-01-14 08:00:05+00:00
66958,40.741004943847656,-73.98475646972656,2016-01-14 08:00:05+00:00
67084,40.76286315917969,-73.9698715209961,2016-01-14 08:00:17+00:00
